neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,distance_to_sol_km,property_type,room_type,accommodates,bathrooms,bedrooms,beds,minimum_nights,maximum_nights,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,host_experience_months,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,amenities_count,has_license_info,has_wifi,has_air_conditioning,has_kitchen,has_washer,has_workspace,has_parking,has_pool,has_elevator,has_balcony_or_patio,price_numeric
Universidad,Centro,40.422739688,-3.707496997,0.723992473838757,Private room in hostel,Private room,2,,,1.0,1.0,999.0,f,146.0,t,t,108.0,114,53,60,0,28,1,1,1,0,0,0,0,0,1,0,127.0
Universidad,Centro,40.422783,-3.707468,0.7271798490836417,Private room in hostel,Private room,2,1.0,,1.0,1.0,999.0,f,146.0,t,t,108.0,114,53,60,0,25,1,1,1,0,0,0,0,0,1,0,132.0
Universidad,Centro,40.42278,-3.70747,0.7269579083153657,Private room in hostel,Private room,2,1.0,,1.0,1.0,999.0,f,146.0,t,t,108.0,114,53,60,0,26,1,1,1,0,0,0,0,0,1,0,118.0
Universidad,Centro,40.422783,-3.707468,0.7271798490836417,Private room in hostel,Private room,2,1.0,,1.0,1.0,999.0,f,146.0,t,t,108.0,114,53,60,0,28,1,1,1,0,0,0,0,0,1,0,140.0
Universidad,Centro,40.42363,-3.70764,0.8183914939641203,Private room in hostel,Private room,2,1.0,,1.0,1.0,999.0,f,146.0,t,t,108.0,114,53,60,0,25,1,1,1,0,0,0,0,0,1,0,129.0
Universidad,Centro,40.422783,-3.707468,0.7271798490836417,Private room in hostel,Private room,2,1.0,,1.0,1.0,999.0,f,146.0,t,t,108.0,114,53,60,0,28,1,1,1,0,0,0,0,0,1,0,119.0
Universidad,Centro,40.4209708,-3.7033754,0.4486443005611447,Private room in hostel,Private room,2,1.0,,1.0,1.0,999.0,f,146.0,t,t,108.0,114,53,60,0,20,1,1,1,1,0,0,0,0,1,0,141.0
Universidad,Centro,40.422783,-3.707468,0.7271798490836417,Private room in hostel,Private room,2,1.0,,1.0,1.0,999.0,f,146.0,t,t,108.0,114,53,60,0,28,1,1,1,0,0,0,0,0,1,0,141.75
Universidad,Centro,40.42653854259958,-3.708227723836899,1.1366401903115537,Private room in condo,Private room,3,1.0,,2.0,1.0,1125.0,t,4.0,t,t,13.0,4,0,4,0,52,1,1,0,1,1,1,0,0,1,1,114.0
Universidad,Centro,40.42575,-3.70872,1.0708825607878907,Private room in condo,Private room,3,1.0,,1.0,1.0,1125.0,t,4.0,t,t,13.0,4,0,4,0,50,1,1,1,1,1,1,0,0,1,1,134.0
Universidad,Centro,40.42565,-3.70839,1.049637886170229,Private room in condo,Private room,2,1.0,,1.0,1.0,1125.0,t,4.0,t,t,13.0,4,0,4,0,52,1,1,1,1,1,1,0,0,1,1,100.0
Universidad,Centro,40.42606229066241,-3.708709466074151,1.1023879259567124,Private room in condo,Private room,3,1.0,,2.0,1.0,1125.0,t,4.0,t,t,13.0,4,0,4,0,47,1,1,0,1,1,1,0,0,1,1,114.0
Universidad,Centro,40.4250394,-3.7103146,1.0645328438573685,Entire condo,Entire home/apt,8,2.0,3.0,3.0,2.0,365.0,f,78.0,t,t,106.0,2,2,0,0,34,1,1,1,1,1,0,0,0,1,0,526.5
Universidad,Centro,40.42499,-3.70471,0.8999496045039806,Private room in rental unit,Private room,2,1.0,,1.0,1.0,365.0,f,1.0,t,t,51.0,1,0,1,0,34,0,1,0,0,1,0,0,0,0,0,75.0
Universidad,Centro,40.4257,-3.70405,0.9747794359250542,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,30.0,360.0,f,2.0,t,t,104.0,2,2,0,0,39,0,1,1,1,1,1,1,0,0,0,103.94
Universidad,Centro,40.4239966,-3.7039691,0.7852467552643744,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,10.0,60.0,f,21.0,t,t,35.0,19,18,1,0,5,1,1,0,1,1,0,0,0,0,0,58.8
Universidad,Centro,40.42172,-3.70328,0.5322454001038182,Entire rental unit,Entire home/apt,4,1.0,1.0,1.0,1.0,1125.0,f,1.0,t,t,107.0,1,1,0,0,33,1,1,1,1,1,0,1,0,1,0,177.0
Universidad,Centro,40.422701,-3.703098,0.6420586044196703,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,2.0,1125.0,f,38.0,t,t,49.0,29,29,0,0,40,1,1,1,1,1,0,1,0,1,0,115.0
Universidad,Centro,40.42168,-3.7026,0.5339540318148455,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,2.0,1125.0,f,38.0,t,t,49.0,29,29,0,0,24,1,1,1,1,1,0,0,0,1,0,117.0
Universidad,Centro,40.423722296155645,-3.703817189361765,0.7543608508800422,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,5.0,365.0,f,38.0,t,t,49.0,29,29,0,0,24,1,1,1,1,1,0,0,0,1,0,108.2
Universidad,Centro,40.42089,-3.70538,0.464075658094184,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,2.0,365.0,f,38.0,t,t,49.0,29,29,0,0,18,1,1,1,1,1,0,0,0,0,0,100.0
Universidad,Centro,40.42231,-3.70414,0.5988000150909311,Entire rental unit,Entire home/apt,2,1.0,1.0,2.0,4.0,1125.0,f,38.0,t,t,49.0,29,29,0,0,43,1,1,0,1,1,0,1,0,1,0,97.33
Universidad,Centro,40.42363157795517,-3.703967699790308,0.7446854136021037,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,4.0,365.0,f,38.0,t,t,49.0,29,29,0,0,23,1,1,1,1,1,0,0,0,1,0,97.8
Universidad,Centro,40.42377,-3.7036,0.7594618207791589,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,2.0,1125.0,f,38.0,t,t,49.0,29,29,0,0,26,1,1,1,1,1,0,0,0,1,0,115.0
Universidad,Centro,40.42188,-3.70251,0.5571401072717043,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,5.0,365.0,f,38.0,t,t,49.0,29,29,0,0,29,1,1,1,1,1,0,1,0,1,1,100.0
Universidad,Centro,40.42379,-3.70195,0.77453965271482,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,2.0,1125.0,f,38.0,t,t,49.0,29,29,0,0,25,1,1,1,1,1,0,0,0,1,0,107.0
